restaurant_name,Number_of_Outlets,Average_Rating,Average_Votes
Vadapav Junction,2,3.45,31.0
Vaishno Punjabi Dhaba,2,3.25,41.0
Vaishno Rasoi,2,1.3,13.0
Veg Ex,3,3.6,37.67
Viva Hyderabad,5,2.38,48.6
WTF - World's Tastiest Food,2,2.4,13.0
Wagh Bakri Tea Lounge,2,3.6,51.0
Wah G Wah,3,1.77,15.33
Wah Ji Wah,19,2.34,54.0
Wai Yu Mun Ching,2,3.55,216.5
Weird Time Food,2,3.35,28.0
Wendy's,2,3.8,407.0
Whatslife.in,2,0.0,0.0
Wheelyz,2,2.85,36.5
Whipped,2,4.2,748.5
Wild Chef House,2,1.55,7.0
Wok On Fire,3,3.8,180.67
Wood Box Cafe,2,3.95,1724.5
Wow! Momo,11,2.75,101.73
Wrapss,6,2.57,85.0
Yadav Sweets,2,0.0,1.0
Yo! China,9,2.99,216.78
Yo! Dimsum,2,1.5,5.5
Yomo-Your Only Momo Outlet,2,3.0,5.5
